SUMMARY,DATE,AGENT,server_name,day_of_week,hour_of_day,AGENT_encoded,DATE_numeric,svm_results
Process : nbrmms is running successfully,2023-01-09 18:24:48,Application,Application_server_33,0,18,0,1673288688000000000,1
system: Processor Queue Length is 0,2023-01-09 18:29:35,ms_win,ms_win_server_3,0,18,3,1673288975000000000,1
*CP01*nodeagent is missing,2023-01-09 18:34:31,websphere,websphere_server_21,0,18,4,1673289271000000000,-1
Current memory usage percentage is 50%,2023-01-09 18:39:28,Application,Application_server_49,0,18,0,1673289568000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 18:44:43,Application,Application_server_274,0,18,0,1673289883000000000,1
CHRONY : process is running successfully,2023-01-09 18:50:00,linux_ix86,linux_ix86_server_47,0,18,2,1673290200000000000,-1
system: Processor Queue Length is 0,2023-01-09 18:54:59,ms_win,ms_win_server_80,0,18,3,1673290499000000000,1
Process : nbsvcmon is running successfully,2023-01-09 19:00:07,Application,Application_server_131,0,19,0,1673290807000000000,1
Process : nbsvcmon is running successfully,2023-01-09 19:05:16,Application,Application_server_495,0,19,0,1673291116000000000,1
Process : TaskRoutingService is running successfully,2023-01-09 19:10:21,Application,Application_server_304,0,19,0,1673291421000000000,1
Total CPU Utilization = 65%,2023-01-09 19:15:23,Application,Application_server_76,0,19,0,1673291723000000000,1
Process : P84xConnectorService is not running,2023-01-09 19:20:41,Application,Application_server_170,0,19,0,1673292041000000000,1
system: Processor Queue Length is 0,2023-01-09 19:25:28,ms_win,ms_win_server_69,0,19,3,1673292328000000000,1
Process : nbrmms is running successfully,2023-01-09 19:30:18,Application,Application_server_332,0,19,0,1673292618000000000,1
Service: enstart64 is running,2023-01-09 19:35:09,ms_win,ms_win_server_70,0,19,3,1673292909000000000,1
*CP01*nodeagent is missing,2023-01-09 19:40:34,websphere,websphere_server_32,0,19,4,1673293234000000000,1
CHRONY : process is running successfully,2023-01-09 19:45:33,linux_ix86,linux_ix86_server_52,0,19,2,1673293533000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 19:50:53,Application,Application_server_179,0,19,0,1673293853000000000,-1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 19:56:23,Application,Application_server_125,0,19,0,1673294183000000000,1
Process : nbrmms is running successfully,2023-01-09 20:00:55,Application,Application_server_520,0,20,0,1673294455000000000,1
Total CPU Utilization = 60%,2023-01-09 20:06:27,Application,Application_server_265,0,20,0,1673294787000000000,1
[MAN] Log /var/log/messages blocked for more than 240 seconds.,2023-01-09 20:11:24,linux_ix86,linux_ix86_server_93,0,20,2,1673295084000000000,1
system: Processor Queue Length is 0,2023-01-09 20:16:15,ms_win,ms_win_server_37,0,20,3,1673295375000000000,1
system: Processor Queue Length is 0,2023-01-09 20:21:13,ms_win,ms_win_server_37,0,20,3,1673295673000000000,1
Service: masvc is running,2023-01-09 20:26:36,ms_win,ms_win_server_67,0,20,3,1673295996000000000,1
splunkd is running successfully,2023-01-09 20:32:07,Application,Application_server_197,0,20,0,1673296327000000000,1
Process : nbsvcmon is running successfully,2023-01-09 20:37:03,Application,Application_server_387,0,20,0,1673296623000000000,1
[MAN] Log /var/log/messages blocked for more than 120 seconds.,2023-01-09 20:41:59,linux_ix86,linux_ix86_server_134,0,20,2,1673296919000000000,1
Total CPU Utilization = 60%,2023-01-09 20:47:09,Application,Application_server_332,0,20,0,1673297229000000000,1
Total CPU Utilization = 80%,2023-01-09 20:52:12,Application,Application_server_116,0,20,0,1673297532000000000,1
Process : nbrmms is running successfully,2023-01-09 20:57:07,Application,Application_server_60,0,20,0,1673297827000000000,1
CHRONY : process is running successfully,2023-01-09 21:02:02,linux_ix86,linux_ix86_server_94,0,21,2,1673298122000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 21:07:28,Application,Application_server_252,0,21,0,1673298448000000000,1
Process : java is running successfully,2023-01-09 21:11:55,Application,Application_server_138,0,21,0,1673298715000000000,1
Total CPU Utilization = 50%,2023-01-09 21:16:55,Application,Application_server_45,0,21,0,1673299015000000000,1
CHRONY : process is running successfully,2023-01-09 21:21:37,linux_ix86,linux_ix86_server_103,0,21,2,1673299297000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-09 21:26:11,websphere,websphere_server_6,0,21,4,1673299571000000000,1
"System:  Warning, system may have been rebooted.",2023-01-09 21:31:22,linux_ix86,linux_ix86_server_15,0,21,2,1673299882000000000,-1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-09 21:36:23,websphere,websphere_server_41,0,21,4,1673300183000000000,1
CHRONY : process is running successfully,2023-01-09 21:41:20,linux_ix86,linux_ix86_server_83,0,21,2,1673300480000000000,1
CHRONY : process is running successfully,2023-01-09 21:46:02,linux_ix86,linux_ix86_server_114,0,21,2,1673300762000000000,1
Service: syslog-ng Agent is running,2023-01-09 21:50:52,ms_win,ms_win_server_91,0,21,3,1673301052000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 21:55:44,Application,Application_server_294,0,21,0,1673301344000000000,-1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-09 22:00:37,linux_ix86,linux_ix86_server_145,0,22,2,1673301637000000000,1
Process : nbsvcmon is running successfully,2023-01-09 22:05:40,Application,Application_server_127,0,22,0,1673301940000000000,1
Service: enstart64 is Stopped,2023-01-09 22:10:40,ms_win,ms_win_server_67,0,22,3,1673302240000000000,-1
Process : nbrmms is running successfully,2023-01-09 22:16:05,Application,Application_server_441,0,22,0,1673302565000000000,1
system: Processor Queue Length is 0,2023-01-09 22:20:53,ms_win,ms_win_server_68,0,22,3,1673302853000000000,1
Process : nbrmms is running successfully,2023-01-09 22:25:45,Application,Application_server_288,0,22,0,1673303145000000000,-1
Process : P84xConnectorService is running successfully,2023-01-09 22:30:45,Application,Application_server_208,0,22,0,1673303445000000000,1
Current memory usage percentage is 50%,2023-01-09 22:35:33,Application,Application_server_104,0,22,0,1673303733000000000,1
system: Processor Queue Length is 0,2023-01-09 22:40:28,ms_win,ms_win_server_69,0,22,3,1673304028000000000,1
Process : TaskRoutingService is running successfully,2023-01-09 22:45:43,Application,Application_server_102,0,22,0,1673304343000000000,1
Process : java is running successfully,2023-01-09 22:50:28,Application,Application_server_365,0,22,0,1673304628000000000,-1
Process : TaskRoutingService is running successfully,2023-01-09 22:55:16,Application,Application_server_9,0,22,0,1673304916000000000,1
Current memory usage percentage is 70%,2023-01-09 23:00:34,Application,Application_server_202,0,23,0,1673305234000000000,1
Process : java is running successfully,2023-01-09 23:05:55,Application,Application_server_136,0,23,0,1673305555000000000,1
CHRONY : process is running successfully,2023-01-09 23:11:02,linux_ix86,linux_ix86_server_33,0,23,2,1673305862000000000,1
Process : nbsl is running successfully,2023-01-09 23:16:10,Application,Application_server_430,0,23,0,1673306170000000000,1
"[MAN] Log /var/log/messages temperature above threshold, cpu clock throttled (total events = 1083)",2023-01-09 23:21:41,linux_ix86,linux_ix86_server_149,0,23,2,1673306501000000000,-1
Process : P84xConnectorService is running successfully,2023-01-09 23:26:21,Application,Application_server_363,0,23,0,1673306781000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-09 23:31:06,Application,Application_server_442,0,23,0,1673307066000000000,1
splunkd is running successfully,2023-01-09 23:35:58,Application,Application_server_393,0,23,0,1673307358000000000,1
Current memory usage percentage is 50%,2023-01-09 23:41:15,Application,Application_server_236,0,23,0,1673307675000000000,1
Total CPU Utilization = 60%,2023-01-09 23:46:35,Application,Application_server_510,0,23,0,1673307995000000000,1
Process : P84xConnectorService is running successfully,2023-01-09 23:51:48,Application,Application_server_135,0,23,0,1673308308000000000,1
Process : java is running successfully,2023-01-09 23:56:58,Application,Application_server_82,0,23,0,1673308618000000000,1
Service: Domain Time Client is running,2023-01-10 00:01:57,ms_win,ms_win_server_1,1,0,3,1673308917000000000,1
Filesystem:  / is 70 full,2023-01-10 00:06:34,linux_ix86,linux_ix86_server_23,1,0,2,1673309194000000000,1
CHRONY : process is running successfully,2023-01-10 00:11:12,linux_ix86,linux_ix86_server_44,1,0,2,1673309472000000000,1
CHRONY : process is running successfully,2023-01-10 00:15:35,linux_ix86,linux_ix86_server_134,1,0,2,1673309735000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 00:20:45,Application,Application_server_180,1,0,0,1673310045000000000,1
Process : nbsvcmon is running successfully,2023-01-10 00:25:45,Application,Application_server_336,1,0,0,1673310345000000000,1
Process : nbrmms is running successfully,2023-01-10 00:31:10,Application,Application_server_484,1,0,0,1673310670000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 00:36:07,Application,Application_server_106,1,0,0,1673310967000000000,1
Filesystem:  / is 90 full,2023-01-10 00:41:19,linux_ix86,linux_ix86_server_14,1,0,2,1673311279000000000,1
Process : java is running successfully,2023-01-10 00:46:53,Application,Application_server_66,1,0,0,1673311613000000000,-1
Process : nbsl is running successfully,2023-01-10 00:52:08,Application,Application_server_372,1,0,0,1673311928000000000,1
Current memory usage percentage is 60%,2023-01-10 00:56:55,Application,Application_server_30,1,0,0,1673312215000000000,1
Filesystem:  / is 90 full,2023-01-10 01:01:58,linux_ix86,linux_ix86_server_66,1,1,2,1673312518000000000,1
CHRONY : process is running successfully,2023-01-10 01:06:34,linux_ix86,linux_ix86_server_90,1,1,2,1673312794000000000,-1
Process : java is running successfully,2023-01-10 01:11:38,Application,Application_server_261,1,1,0,1673313098000000000,1
Total CPU Utilization = 65%,2023-01-10 01:16:11,Application,Application_server_108,1,1,0,1673313371000000000,1
Process : nbsvcmon is running successfully,2023-01-10 01:21:01,Application,Application_server_285,1,1,0,1673313661000000000,1
Process : nbsvcmon is running successfully,2023-01-10 01:26:03,Application,Application_server_67,1,1,0,1673313963000000000,1
Process : nbsvcmon is running successfully,2023-01-10 01:31:15,Application,Application_server_309,1,1,0,1673314275000000000,-1
Process : nbrmms is running successfully,2023-01-10 01:36:10,Application,Application_server_407,1,1,0,1673314570000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-10 01:41:13,linux_ix86,linux_ix86_server_118,1,1,2,1673314873000000000,1
Process : nbsvcmon is running successfully,2023-01-10 01:46:09,Application,Application_server_302,1,1,0,1673315169000000000,-1
Filesystem:  / is 70 full,2023-01-10 01:51:18,linux_ix86,linux_ix86_server_82,1,1,2,1673315478000000000,1
Process : nbsvcmon is running successfully,2023-01-10 01:55:42,Application,Application_server_504,1,1,0,1673315742000000000,-1
Process : nbsvcmon is running successfully,2023-01-10 02:00:19,Application,Application_server_349,1,2,0,1673316019000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-10 02:05:49,websphere,websphere_server_47,1,2,4,1673316349000000000,1
Filesystem:  / is 70 full,2023-01-10 02:10:03,linux_ix86,linux_ix86_server_54,1,2,2,1673316603000000000,1
splunkd is running successfully,2023-01-10 02:14:46,Application,Application_server_239,1,2,0,1673316886000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 02:19:43,Application,Application_server_499,1,2,0,1673317183000000000,1
Process : java is running successfully,2023-01-10 02:24:33,Application,Application_server_151,1,2,0,1673317473000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 02:29:22,Application,Application_server_181,1,2,0,1673317762000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-10 02:34:31,linux_ix86,linux_ix86_server_119,1,2,2,1673318071000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 02:39:35,Application,Application_server_245,1,2,0,1673318375000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 02:44:06,Application,Application_server_85,1,2,0,1673318646000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-10 02:49:00,websphere,websphere_server_43,1,2,4,1673318940000000000,1
Current memory usage percentage is 50%,2023-01-10 02:54:04,Application,Application_server_491,1,2,0,1673319244000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 02:59:07,Application,Application_server_347,1,2,0,1673319547000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 03:04:21,Application,Application_server_313,1,3,0,1673319861000000000,1
Process : java is running successfully,2023-01-10 03:09:23,Application,Application_server_151,1,3,0,1673320163000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - monitor procedure did not complete within the expected time.,2023-01-10 03:13:46,linux_ix86,linux_ix86_server_126,1,3,2,1673320426000000000,1
[MAN] Log /var/log/messages NIC Link is Up.,2023-01-10 03:18:43,linux_ix86,linux_ix86_server_35,1,3,2,1673320723000000000,-1
Process : nbsl is running successfully,2023-01-10 03:23:50,Application,Application_server_335,1,3,0,1673321030000000000,1
system: Processor Queue Length is 0,2023-01-10 03:28:34,ms_win,ms_win_server_55,1,3,3,1673321314000000000,1
Process : nbsvcmon is running successfully,2023-01-10 03:33:30,Application,Application_server_281,1,3,0,1673321610000000000,1
Process : nbsvcmon is running successfully,2023-01-10 03:38:23,Application,Application_server_92,1,3,0,1673321903000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-10 03:43:09,dell-idrac,dell-idrac_server_17,1,3,1,1673322189000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 03:47:50,Application,Application_server_346,1,3,0,1673322470000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-10 03:52:39,dell-idrac,dell-idrac_server_41,1,3,1,1673322759000000000,1
Process : nbrmms is running successfully,2023-01-10 03:57:37,Application,Application_server_503,1,3,0,1673323057000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 04:02:42,Application,Application_server_253,1,4,0,1673323362000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 04:08:04,Application,Application_server_292,1,4,0,1673323684000000000,1
[MAN] Predictive failure reported for Disk 1 in Backplane 1 of Integrated RAID Controller 1.,2023-01-10 04:13:03,dell-idrac,dell-idrac_server_50,1,4,1,1673323983000000000,1
Filesystem:  / is 85 full,2023-01-10 04:17:49,linux_ix86,linux_ix86_server_126,1,4,2,1673324269000000000,1
Process : nbsl is running successfully,2023-01-10 04:22:28,Application,Application_server_265,1,4,0,1673324548000000000,1
Filesystem:  / is 80 full,2023-01-10 04:27:41,linux_ix86,linux_ix86_server_84,1,4,2,1673324861000000000,1
Current memory usage percentage is 90%,2023-01-10 04:32:16,Application,Application_server_397,1,4,0,1673325136000000000,1
splunkd is running successfully,2023-01-10 04:37:30,Application,Application_server_368,1,4,0,1673325450000000000,1
Total CPU Utilization = 60%,2023-01-10 04:42:29,Application,Application_server_420,1,4,0,1673325749000000000,1
Total CPU Utilization = 55%,2023-01-10 04:47:51,Application,Application_server_158,1,4,0,1673326071000000000,1
Current memory usage percentage is 50%,2023-01-10 04:52:53,Application,Application_server_443,1,4,0,1673326373000000000,1
*CP01*nodeagent is missing,2023-01-10 04:58:25,websphere,websphere_server_40,1,4,4,1673326705000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-10 05:03:14,dell-idrac,dell-idrac_server_35,1,5,1,1673326994000000000,1
[MAN] The system inlet temperature is above than the lower critical threshold.,2023-01-10 05:07:52,dell-idrac,dell-idrac_server_33,1,5,1,1673327272000000000,1
[MAN] Log /var/log/messages NIC Link is Up.,2023-01-10 05:12:52,linux_ix86,linux_ix86_server_30,1,5,2,1673327572000000000,1
system: Processor Queue Length is 0,2023-01-10 05:18:01,ms_win,ms_win_server_75,1,5,3,1673327881000000000,1
CHRONY : process is running successfully,2023-01-10 05:23:19,linux_ix86,linux_ix86_server_9,1,5,2,1673328199000000000,1
Service: masvc is running,2023-01-10 05:28:33,ms_win,ms_win_server_89,1,5,3,1673328513000000000,1
[MAN] The PERC1 battery is low.,2023-01-10 05:33:08,dell-idrac,dell-idrac_server_25,1,5,1,1673328788000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 05:38:07,Application,Application_server_97,1,5,0,1673329087000000000,1
"[MAN] Log /var/log/messages .995160+08:00 serverabc123 hp-ams[794]: CRITICAL: Network Adapter Link Down (Slot 5, Port 1)",2023-01-10 05:43:30,linux_ix86,linux_ix86_server_160,1,5,2,1673329410000000000,1
[MAN] The system inlet temperature is less than the lower critical threshold.,2023-01-10 05:48:42,dell-idrac,dell-idrac_server_25,1,5,1,1673329722000000000,-1
Process : nbsl is running successfully,2023-01-10 05:54:02,Application,Application_server_511,1,5,0,1673330042000000000,1
Process : nbrmms is running successfully,2023-01-10 05:59:09,Application,Application_server_339,1,5,0,1673330349000000000,1
Service: syslog-ng Agent is running,2023-01-10 06:04:34,ms_win,ms_win_server_6,1,6,3,1673330674000000000,1
Current memory usage percentage is 50%,2023-01-10 06:08:59,Application,Application_server_218,1,6,0,1673330939000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 06:14:06,Application,Application_server_377,1,6,0,1673331246000000000,1
system: Processor Queue Length is 0,2023-01-10 06:19:31,ms_win,ms_win_server_77,1,6,3,1673331571000000000,1
Total CPU Utilization = 65%,2023-01-10 06:23:57,Application,Application_server_188,1,6,0,1673331837000000000,1
system: Processor Queue Length is 0,2023-01-10 06:28:46,ms_win,ms_win_server_8,1,6,3,1673332126000000000,1
system: Processor Queue Length is 0,2023-01-10 06:33:28,ms_win,ms_win_server_3,1,6,3,1673332408000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 06:38:51,Application,Application_server_107,1,6,0,1673332731000000000,1
system: Processor Queue Length is 0,2023-01-10 06:43:56,ms_win,ms_win_server_50,1,6,3,1673333036000000000,1
system: Processor Queue Length is 0,2023-01-10 06:48:22,ms_win,ms_win_server_59,1,6,3,1673333302000000000,1
[MAN] The PERC1 battery is high.,2023-01-10 06:53:10,dell-idrac,dell-idrac_server_21,1,6,1,1673333590000000000,1
Process : nbsl is running successfully,2023-01-10 06:58:10,Application,Application_server_107,1,6,0,1673333890000000000,1
Total CPU Utilization = 65%,2023-01-10 07:03:08,Application,Application_server_23,1,7,0,1673334188000000000,1
Filesystem:  / is 95 full,2023-01-10 07:08:04,linux_ix86,linux_ix86_server_155,1,7,2,1673334484000000000,1
Process : java is running successfully,2023-01-10 07:13:18,Application,Application_server_210,1,7,0,1673334798000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 07:18:11,Application,Application_server_133,1,7,0,1673335091000000000,1
Process : java is running successfully,2023-01-10 07:22:50,Application,Application_server_334,1,7,0,1673335370000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 07:28:11,Application,Application_server_81,1,7,0,1673335691000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 07:33:05,Application,Application_server_197,1,7,0,1673335985000000000,1
splunkd is running successfully,2023-01-10 07:38:09,Application,Application_server_240,1,7,0,1673336289000000000,1
Total CPU Utilization = 90%,2023-01-10 07:43:40,Application,Application_server_9,1,7,0,1673336620000000000,1
Process : nbrmms is running successfully,2023-01-10 07:49:00,Application,Application_server_89,1,7,0,1673336940000000000,1
Process : nbrmms is running successfully,2023-01-10 07:53:55,Application,Application_server_84,1,7,0,1673337235000000000,1
Current memory usage percentage is 50%,2023-01-10 07:58:59,Application,Application_server_327,1,7,0,1673337539000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(cvm_vxconfigd) - successfully complete.,2023-01-10 08:04:28,linux_ix86,linux_ix86_server_80,1,8,2,1673337868000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 08:09:32,Application,Application_server_356,1,8,0,1673338172000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13210 (server987qwe) Agent is calling clean for resource(cvm_vxconfigd) because 2 successive invocations of the monitor procedure did not complete within the expected time.,2023-01-10 08:13:46,linux_ix86,linux_ix86_server_50,1,8,2,1673338426000000000,1
Filesystem:  / is 85 full,2023-01-10 08:19:06,linux_ix86,linux_ix86_server_9,1,8,2,1673338746000000000,1
[MAN] Log /webapp/logs/app123/SystemErr.log ParseException: Content is not allowed in prolog,2023-01-10 08:24:14,websphere,websphere_server_29,1,8,4,1673339054000000000,1
Process : nbsvcmon is running successfully,2023-01-10 08:28:50,Application,Application_server_390,1,8,0,1673339330000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 08:33:35,Application,Application_server_345,1,8,0,1673339615000000000,1
[MAN] The system inlet temperature is less than the lower critical threshold.,2023-01-10 08:38:30,dell-idrac,dell-idrac_server_28,1,8,1,1673339910000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 08:43:40,Application,Application_server_497,1,8,0,1673340220000000000,1
Process : nbsl is running successfully,2023-01-10 08:48:48,Application,Application_server_497,1,8,0,1673340528000000000,1
Process : nbrmms is running successfully,2023-01-10 08:53:53,Application,Application_server_244,1,8,0,1673340833000000000,1
Process : nbrmms is running successfully,2023-01-10 08:58:49,Application,Application_server_174,1,8,0,1673341129000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 09:03:54,Application,Application_server_40,1,9,0,1673341434000000000,1
Total CPU Utilization = 50%,2023-01-10 09:08:51,Application,Application_server_208,1,9,0,1673341731000000000,1
*CP01*nodeagent is missing,2023-01-10 09:14:03,websphere,websphere_server_45,1,9,4,1673342043000000000,1
[MAN] Predictive failure reported for Disk 1 in Backplane 1 of Integrated RAID Controller 1.,2023-01-10 09:19:12,dell-idrac,dell-idrac_server_34,1,9,1,1673342352000000000,1
Filesystem:  / is 75 full,2023-01-10 09:23:59,linux_ix86,linux_ix86_server_37,1,9,2,1673342639000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 09:28:38,Application,Application_server_31,1,9,0,1673342918000000000,1
system: Processor Queue Length is 0,2023-01-10 09:33:28,ms_win,ms_win_server_80,1,9,3,1673343208000000000,1
Process : nbsvcmon is running successfully,2023-01-10 09:38:15,Application,Application_server_239,1,9,0,1673343495000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 09:43:07,Application,Application_server_30,1,9,0,1673343787000000000,1
Filesystem:  / is 75 full,2023-01-10 09:48:24,linux_ix86,linux_ix86_server_128,1,9,2,1673344104000000000,1
*CP01*nodeagent is missing,2023-01-10 09:54:02,websphere,websphere_server_1,1,9,4,1673344442000000000,1
Process : nbsvcmon is running successfully,2023-01-10 09:59:13,Application,Application_server_58,1,9,0,1673344753000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 10:03:58,Application,Application_server_146,1,10,0,1673345038000000000,1
[MAN] Predictive failure reported for Disk 0 in Backplane 1 of Integrated RAID Controller 1.,2023-01-10 10:09:14,dell-idrac,dell-idrac_server_39,1,10,1,1673345354000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-10 10:14:02,websphere,websphere_server_36,1,10,4,1673345642000000000,1
Current memory usage percentage is 40%,2023-01-10 10:19:22,Application,Application_server_49,1,10,0,1673345962000000000,1
Total CPU Utilization = 55%,2023-01-10 10:24:11,Application,Application_server_522,1,10,0,1673346251000000000,1
Process : nbsl is running successfully,2023-01-10 10:29:21,Application,Application_server_446,1,10,0,1673346561000000000,1
splunkd is running successfully,2023-01-10 10:34:34,Application,Application_server_453,1,10,0,1673346874000000000,1
Process : nbrmms is running successfully,2023-01-10 10:39:10,Application,Application_server_141,1,10,0,1673347150000000000,1
CHRONY : process is running successfully,2023-01-10 10:43:53,linux_ix86,linux_ix86_server_73,1,10,2,1673347433000000000,1
[AUTOP]  Service: SQL Server (MSSQLSERVER) is running successfully,2023-01-10 10:48:47,Application,Application_server_328,1,10,0,1673347727000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 10:53:51,Application,Application_server_229,1,10,0,1673348031000000000,1
Process : TaskRoutingService is running successfully,2023-01-10 10:58:29,Application,Application_server_313,1,10,0,1673348309000000000,1
Current memory usage percentage is 60%,2023-01-10 11:03:28,Application,Application_server_472,1,11,0,1673348608000000000,1
Process : nbrmms is running successfully,2023-01-10 11:07:52,Application,Application_server_365,1,11,0,1673348872000000000,1
Process : nbrmms is running successfully,2023-01-10 11:12:25,Application,Application_server_269,1,11,0,1673349145000000000,1
system: Processor Queue Length is 0,2023-01-10 11:17:11,ms_win,ms_win_server_105,1,11,3,1673349431000000000,1
Filesystem:  / is 70 full,2023-01-10 11:21:56,linux_ix86,linux_ix86_server_104,1,11,2,1673349716000000000,1
[MAN] The PERC1 battery is high.,2023-01-10 11:27:12,dell-idrac,dell-idrac_server_45,1,11,1,1673350032000000000,1
system: Processor Queue Length is 0,2023-01-10 11:31:50,ms_win,ms_win_server_51,1,11,3,1673350310000000000,1
[MAN] The system inlet temperature is less than the lower critical threshold.,2023-01-10 11:36:44,dell-idrac,dell-idrac_server_34,1,11,1,1673350604000000000,1
[MAN] Log /webapp/configs/WebSphere/AppServer/logs/AppSrv012/SystemOut.log java.lang.OutOfMemoryError: Java heap space,2023-01-10 11:41:28,websphere,websphere_server_43,1,11,4,1673350888000000000,1
splunkd is running successfully,2023-01-10 11:46:21,Application,Application_server_482,1,11,0,1673351181000000000,1
system: Processor Queue Length is 0,2023-01-10 11:51:25,ms_win,ms_win_server_102,1,11,3,1673351485000000000,1
Process : java is running successfully,2023-01-10 11:56:14,Application,Application_server_404,1,11,0,1673351774000000000,-1
system: Processor Queue Length is 0,2023-01-10 12:01:11,ms_win,ms_win_server_54,1,12,3,1673352071000000000,1
splunkd is running successfully,2023-01-10 12:06:34,Application,Application_server_391,1,12,0,1673352394000000000,1
CHRONY : process is running successfully,2023-01-10 12:11:30,linux_ix86,linux_ix86_server_157,1,12,2,1673352690000000000,1
Process : nbsl is running successfully,2023-01-10 12:16:42,Application,Application_server_267,1,12,0,1673353002000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 12:21:47,Application,Application_server_507,1,12,0,1673353307000000000,1
[MAN] The PERC1 battery is high.,2023-01-10 12:26:27,dell-idrac,dell-idrac_server_39,1,12,1,1673353587000000000,1
Process : P84xConnectorService is running successfully,2023-01-10 12:31:21,Application,Application_server_297,1,12,0,1673353881000000000,1
*CP01*nodeagent is missing,2023-01-10 12:36:01,websphere,websphere_server_7,1,12,4,1673354161000000000,1
Filesystem:  / is 95 full,2023-01-10 12:40:27,linux_ix86,linux_ix86_server_13,1,12,2,1673354427000000000,1
[MAN] Log /var/VRTSvcs/log/engine_A.log VCS ERROR V-16-2-13027 (server987qwe) Resource(vxattachd) - successfully complete.,2023-01-10 12:45:14,linux_ix86,linux_ix86_server_118,1,12,2,1673354714000000000,1
CHRONY : process is running successfully,2023-01-10 12:49:55,linux_ix86,linux_ix86_server_98,1,12,2,1673354995000000000,1
Service: Domain Time Client is running,2023-01-10 12:54:52,ms_win,ms_win_server_101,1,12,3,1673355292000000000,1
Service: enstart64 is Stopped,2023-01-10 12:59:13,ms_win,ms_win_server_14,1,12,3,1673355553000000000,1
Process : nbsl is running successfully,2023-01-10 13:03:51,Application,Application_server_357,1,13,0,1673355831000000000,1
Service: syslog-ng Agent is running,2023-01-10 13:08:37,ms_win,ms_win_server_19,1,13,3,1673356117000000000,1
